nigga,0.031044853580127672
bitch,0.025760061675242363
fuck,0.020947367022380915
shit,0.015090988639401606
yeah,0.013890749354660037
ain't,0.012182426156544105
ayi,0.011524965135963749
i'm,0.011468766122802005
money,0.010937626899052361
got,0.010539685534896022
ooh,0.00961512229165738
ass,0.009574112540447538
gon,0.009560181798706607
girl,0.009539126193014053
don't,0.008178742754366673
pussi,0.007927173641487907
that,0.007726163058659709
hoe,0.007714890884335715
i'ma,0.007672013699191028
back,0.00746927939296226
hey,0.0072120613667132445
babi,0.007001443509157867
fuckin,0.006836995114929575
man,0.006780720668294574
put,0.006636590895352931
lil,0.006591530010850743
wanna,0.006500576735322313
huh,0.006496640510110714
drop,0.006396733290862196
know,0.0063925727123742
real,0.006364699602084612
hol,0.006287959810311176
make,0.006244717422974489
big,0.0061054965949970015
boy,0.00608037896392231
rack,0.006012862555428796
gang,0.006001621402143455
bout,0.005956873638657711
bad,0.0059333596110659245
talk,0.005880844350239683
pop,0.005761600457389097
love,0.005740149054603309
hit,0.005730722829166127
tell,0.005711851769306102
parti,0.005676655062296088
caus,0.005647431318421422
call,0.005644784847158918
it,0.005641479348231386
gotta,0.005596845786704304
tryna,0.005589493310009208
say,0.005553952156941628
new,0.005516672100393821
beat,0.005427228686641947
can't,0.005260252064413466
right,0.005241705912775524
let,0.005165088562584201
way,0.005125108660750637
woo,0.005053471335113738
shake,0.005050901936456662
dick,0.005026605403833655
nothin,0.004979150516343528
look,0.00496640571863539
keep,0.004930157286781638
take,0.004909758510939328
give,0.004895044263359351
damn,0.004870391421810384
bodi,0.004853584450401819
feel,0.004853205925487411
motherfuck,0.004835367461552259
y'all,0.004800243992634816
time,0.004785664099512471
god,0.004734998526844005
top,0.004631051151593203
work,0.004627823205270214
club,0.004593590408593659
pull,0.004580961372251864
hot,0.004576939214575512
check,0.004573756230339144
ride,0.004571552442821375
come,0.004519472249124764
skrrt,0.004453316238859855
night,0.004335391485351725
young,0.004323453193772667
black,0.004318824934607337
i'mma,0.004285340373386918
play,0.004254922731282108
shot,0.00423599298316245
good,0.004206750782707293
head,0.004166893614962097
think,0.004153853305986499
throw,0.004143055141989533
two,0.004142335959323024
high,0.004121789218791995
rock,0.004121392947836549
hood,0.004075899863892535
smoke,0.004064475348608365
drip,0.004054544677474916
came,0.004042584697210881
life,0.0040393767087600905
show,0.004033825584625685
watch,0.0040307132111018
lie,0.004030510818381647
hundr,0.004029257690694831
done,0.004021051363319325
told,0.004012022932392416
bounc,0.004005242277060802
bust,0.004004126578229258
rich,0.003994099550358085
dont,0.003864614019434562
gettin,0.0038442205559465407
twerk,0.0038390061395199627
roll,0.0038352739516755714
goin,0.003812393684846205
did,0.003807064579961146
ball,0.003773318856507243
low,0.0037691306700291228
walk,0.0037582251070366803
citi,0.003745946940750642
name,0.0037377573443701435
friend,0.003737393482602753
nah,0.0037309144938864306
die,0.003725948109965426
white,0.003719353107199066
stop,0.003703952638548897
i'll,0.0036974776600544068
shawti,0.0036855542184662227
run,0.0036819991281528187
poppin,0.003667633652898713
turn,0.0036590227148180473
hate,0.003641644458845843
game,0.0036412769882001998
lot,0.0036387198107431288
bag,0.0036325172056086846
hard,0.003621740073494479
better,0.0036209426517709717
straight,0.0035879408691935704
dollar,0.003572310887648216
what,0.0035645119193195352
diddili,0.003556209197340636
freak,0.0035528837691052918
ice,0.0035452719250519786
kill,0.003518408442691974
made,0.003447562447560586
you'r,0.0034283338960476237
okay,0.0034240622534235502
dope,0.003420785314570494
talkin,0.003416881141526343
took,0.0033774724519764626
lookin,0.0033363499053887464
whip,0.0033303044283264035
wrist,0.003297915602760854
hitta,0.003294093120309289
til,0.003271312140331317
gone,0.0032526036352158736
cash,0.0032326485409537955
move,0.00321217074918926
face,0.0032099975270464785
leav,0.0031973619004859485
car,0.0031751445329929262
wast,0.0031425731262312686
thing,0.0031342195285292396
tri,0.003133828696018544
diamond,0.003130476504960572
woah,0.003120603470876588
bring,0.0031101830228404104
won't,0.0031099510850297394
wit,0.0031091763144951655
crazi,0.0030898093153815956
boss,0.003089297712161329
count,0.003088052603648885
long,0.003087646083427898
gun,0.0030647659309957598
molli,0.0030610750216758928
cut,0.0030450950053442062
blow,0.0030392131299136474
stay,0.0030211554890520412
stupid,0.003014860459734949
catch,0.003012734146908763
million,0.0029898726499260277
chain,0.002989351292218466
rap,0.002987293189415654
side,0.0029611061686419774
drink,0.0029521161185142386
start,0.0029421319716779835
street,0.002941791869569978
gucci,0.0029174445801509433
live,0.002893235118865349
homi,0.002885470304360147
thang,0.002883328593563553
comin,0.0028771100909591126
home,0.0028716807969545446
four,0.0028700091908585392
bought,0.002865305755391057
band,0.0028575623681616844
hand,0.0028450983548100905
ask,0.0028440153512235785
wet,0.0028350364098848357
ridin,0.0027900872060920914
mind,0.0027757140456520003
ring,0.002773804674202807
