Celebrate,DJ Khaled,206.499,Featuring Travis Scott & Post Malone,2.7021922624322636,0.31899641577060933,0.31912608854211305,Love/Other
Video Phone,Beyoncé,215.307,,2.5962927354893246,0.3470483005366726,0.10889982045202792,Sports/Other
Tear in My Heart,​twenty one pilots,188.492,,1.7666532266621395,0.2882882882882883,0.0530199896471684,Love/Other
Back to Black,Glee Cast,239.307,Featuring Naya Rivera,0.9109637411358632,0.40825688073394495,0.06538279285926434,Wealth
Hallelujah,K.D. Lang,300.615,,0.6420171980772749,0.616580310880829,0.017495424785342686,Fun/Other
Felt Good On My Lips,Tim McGraw,246.133,,1.312298635290676,0.43653250773993807,0.06191084110955684,Other
Back Like That,Ghostface Killah,242.0,Featuring Ne-Yo,3.3677685950413223,0.4012269938650307,0.4004296880746786,Other
Slither,Velvet Revolver,248.307,,0.8336454469668596,0.33816425120772947,0.05296738203247839,Other
Wanna Get to Know You,G-Unit,265.027,Featuring Joe,2.931776762367608,0.3912483912483912,0.3107425209250704,Other
Drink a Beer,Luke Bryan,202.627,,0.8044337625291792,0.6073619631901841,0.047842851606368975,Drugs/Other
Twisted Transistor,Korn,188.933,,1.3338061640899155,0.38095238095238093,0.06210428319509086,Other
Falling Down,Selena Gomez & The Scene,184.68,,1.7002382499458522,0.36942675159235666,0.05369514096188553,Fun/Other
Overture and a holly jolly christmas,Burl Ives,146.667,,0.586362303722037,0.6976744186046512,0.010642929580950918,Christmas/Wealth/Other
Be Real,Kid Ink,206.761,Featuring DeJ Loaf,2.2538099544885157,0.4613733905579399,0.2314775939928118,Sex/Fun
Whatever You Like,T.I.,249.533,,2.440558964145023,0.2660098522167488,0.2033367090968192,Other
Plug Walk,Rich The Kid,175.23,,2.4196769959481825,0.4268867924528302,0.26839344736039566,Sex/Other
Baby Sitter,DaBaby,157.693,Featuring Offset,4.515102128819922,0.4157303370786517,0.4931960520287102,Drugs/Other
Change,Taylor Swift,280.24,,0.9598915215529545,0.5241635687732342,0.04577115880373593,Fun/Other
Don’t It,Billy Currington,189.04,,2.0736352094794754,0.3239795918367347,0.0993370035201161,Other
​bad guy,Billie Eilish,194.088,,1.3189893244301554,0.5078125,0.08337252242989375,Fun/Other
Her Diamonds,Rob Thomas,279.967,,1.664481885365061,0.296137339055794,0.12640193823720822,Fun/Other
Halfway Gone,Lifehouse,195.707,,1.4102714772593725,0.2717391304347826,0.18611219294519424,Religion/Other
Small Town Boy,Dustin Lynch,206.093,,1.9069061054960625,0.31806615776081426,0.13939540548759458,Fun/Other
Keep On Lovin’ You,Steel Magnolia,182.573,,1.2214292365245683,0.32286995515695066,0.09917085025505046,Love/Fun
Take It from Me,Jordan Davis,174.255,,2.1749734584373477,0.3113456464379947,0.10600960387970099,Fun/Other
One Of Those Nights,Tim McGraw,236.517,,1.3064600007610447,0.540453074433657,0.08502633558931742,Fun/Other
Beautiful Now,Zedd,218.332,Featuring Jon Bellion,0.9572577542458275,0.40669856459330145,0.03246417326859724,Fun
Mr. Know It All,Kelly Clarkson,232.52,,1.8191983485291587,0.29314420803782504,0.2382517012852855,Fun/Other
Blackbird,Glee Cast,140.333,,1.047508426385811,0.3129251700680272,0.012839606109097786,Other
Freek-A-Leek,Petey Pablo,235.187,,3.303754034023989,0.3564993564993565,0.16067935610701686,Sex/Other
Kissin U,Miranda Cosgrove,199.693,,1.7677134401306003,0.40509915014164305,0.04545083882017924,Love/Fun
Games,Luke Bryan,176.32,,1.9623411978221417,0.3670520231213873,0.1215754454190176,Other
19 You + Me,Dan + Shay,217.407,,1.3615016995772904,0.40540540540540543,0.014454961775788044,Fun/Other
Who You Love,John Mayer,252.707,Featuring Katy Perry,0.9972022935652752,0.3134920634920635,0.10601429130234447,Love
ESSKEETIT,Lil Pump,181.714,,3.769660015188703,0.31386861313868614,0.40872123740269267,Other
Dance for You,Beyoncé,375.716,,1.9323105750087832,0.2727272727272727,0.2928794260307536,Fun/Other
Over,Blake Shelton,193.493,,1.1059831621815777,0.35046728971962615,0.023301366445454823,Fun/Other
The Ones That Didn’t Make It Back Home,Justin Moore,191.018,,1.7118805557591432,0.3730886850152905,0.05537035231752289,Love/Fun/Other
Latch,Disclosure,256.907,Featuring Sam Smith,1.1365980685617754,0.3013698630136986,0.0801723534412669,Love/Other
Hips Don’t Lie,Shakira,218.093,Featuring Wyclef Jean,2.7786311344243053,0.39933993399339934,0.22595190906100548,Fun/Other
Tell Me Something I Don’t Know,Selena Gomez & The Scene,175.333,,2.663503162553541,0.23126338329764454,0.24242979763121852,Fun
I See You,Luke Bryan,185.987,,1.7796942797077215,0.3323262839879154,0.08298591804823725,Fun/Other
Kyoto,Skrillex,200.787,Featuring Sirah,2.3756518101271498,0.1761006289308176,0.30929995007722577,Sex/Wealth
I Like Me Better,Lauv,197.437,,1.448563339191742,0.35664335664335667,0.09567012360997407,Wealth
Hookah,Tyga,202.102,Featuring Young Thug,2.909421975042305,0.4744897959183674,0.2584218283773418,Other
You’re Beautiful,James Blunt,212.812,,0.9350976448696502,0.47738693467336685,0.052891653252936474,Fun
Used to Love U,John Legend,210.867,,2.1293042533919486,0.26057906458797325,0.12588488839793077,Love
You,Chris Young,164.52,,1.410162898127887,0.4396551724137931,0.048670220206264436,Love/Other
Soldier,Destiny’s Child,325.573,Featuring T.I. & Lil Wayne,2.994720078139158,0.3394871794871795,0.3047149762569522,Other
Temporary Fix,One Direction,175.014,,2.0226953272309642,0.3531073446327684,0.09243413512381796,Fun/Other
